"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Bloom Health Centers","MD","Healthcare Provider","1954","02/01/2024","Hacking/IT Incident","Email","No",""
"Capital Health System, Inc.","NJ","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Network Server","No",""
"Crescent Community Health Center","IA","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Email","No",""
"Saint Anthony Health Ministries ","IL","Healthcare Provider","500","01/30/2024","Hacking/IT Incident","Network Server","No",""
"Allies for Health + Wellbeing ","PA","Healthcare Provider","680","01/30/2024","Hacking/IT Incident","Email, Other","No",""
"Sun Pain Management, LLC","AZ","Healthcare Provider","2988","01/27/2024","Hacking/IT Incident","Network Server","No",""
"CNO ACE","IN","Health Plan","65295","01/26/2024","Hacking/IT Incident","Network Server","No",""
"Kern Regional Center","CA","Healthcare Provider","700","01/26/2024","Unauthorized Access/Disclosure","Email","No",""
"INTEGRIS Health","OK","Healthcare Provider","2385646","01/26/2024","Hacking/IT Incident","Network Server","No",""
"PruittHealth, Inc.","GA","Business Associate","56405","01/26/2024","Hacking/IT Incident","Network Server","Yes",""
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”) ","MI","Healthcare Provider","6178","01/24/2024","Hacking/IT Incident","Network Server","No",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Business Associate","55055","01/23/2024","Hacking/IT Incident","Network Server","Yes",""
"J.D. Gilmour & Co., Inc.","CA","Business Associate","2570","01/22/2024","Hacking/IT Incident","Email","Yes",""
"Coastal Hospice & Palliative Care","MD","Healthcare Provider","29100","01/22/2024","Hacking/IT Incident","Network Server","No",""
"AHS Management Company, Inc.","TN","Business Associate","23686","01/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Healthcare Provider","307864","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Catholic Charities of the Archdiocese of Miami, Inc.","FL","Healthcare Provider","1500","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Omaha Firefighters Healthcare Trust ","NE","Health Plan","3567","01/20/2024","Hacking/IT Incident","Email","No",""
"Native American Health Center","CA","Healthcare Provider","4231","01/18/2024","Hacking/IT Incident","Network Server","No",""
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ","MA","Healthcare Provider","846","01/18/2024","Hacking/IT Incident","Email","No",""
"TGI Direct","MI","Business Associate","11556","01/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Dickinson County Health Department","KS","Healthcare Provider","1063","01/17/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"CR Pharmacy Services, Inc. d/b/a CarePro","IA","Healthcare Provider","151499","01/15/2024","Hacking/IT Incident","Network Server","No",""
"HORNE, LLP","MS","Business Associate","170052","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Azura Vascular Care","PA","Business Associate","348000","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Lester and Rosalie Anixter Center","IL","Healthcare Provider","6194","01/12/2024","Hacking/IT Incident","Email","No",""
"Covenant Care California, LLC ","CA","Healthcare Provider","501","01/12/2024","Hacking/IT Incident","Network Server","No",""
"Family Healthcare Center","ND","Healthcare Provider","6457","01/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Hampton-Newport News Community Services Board","VA","Healthcare Provider","44312","01/11/2024","Hacking/IT Incident","Network Server","No",""
"InHealth Technologies","CA","Healthcare Provider","12143","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Burr & Forman LLP","AL","Business Associate","19893","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Coastal Plains Community Mental Health Mental Retardation Center","TX","Healthcare Provider","500","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Concentra Health Services, Inc.","TX","Healthcare Provider","3998163","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Psychological Holdings, PLLC d/b/a Senior PsychCare","TX","Healthcare Provider","75349","01/08/2024","Hacking/IT Incident","Network Server","No",""
"Sharp Health Plan","CA","Health Plan","9255","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Catholic Heath Initiative Trinity Medical Center","OH","Healthcare Provider","797","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Daleville Dental II LLC","AL","Healthcare Provider","500","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Tampa Bay Surgical Group   ","FL","Healthcare Provider","1107","01/05/2024","Loss","Other Portable Electronic Device","No",""
"Cooper Clinic, P.A. ","TX","Healthcare Provider","124341","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Fincantieri Marine Group, LLC","DC","Health Plan","11535","01/05/2024","Hacking/IT Incident","Network Server","No",""
"ConsensioHealth, LLC","WI","Business Associate","60871","01/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Inyo Healthcare District","CA","Healthcare Provider","1305","01/03/2024","Hacking/IT Incident","Network Server","Yes",""
"Amerigroup Iowa, Inc","IN","Business Associate","1023","01/03/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Midwest Long Term Care Services DBA Senior Scripts","MO","Healthcare Provider","10566","01/02/2024","Hacking/IT Incident","Network Server","No",""
"Community Tri-County Healthcare","AL","Healthcare Provider","5809","01/02/2024","Hacking/IT Incident","Network Server","No",""
"HMG Healthcare, LLC","TX","Healthcare Provider","80000","12/29/2023","Hacking/IT Incident","Network Server","No",""
"Electrostim Medical Services, Inc. d/b/A EMSI","FL","Healthcare Provider","542990","12/28/2023","Hacking/IT Incident","Network Server","No",""
"Medical Center Barbour","AL","Healthcare Provider","61014","12/27/2023","Hacking/IT Incident","Network Server","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","544","12/26/2023","Loss","Laptop","No",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","5000","12/26/2023","Hacking/IT Incident","Email","No",""
"Meridian Behavioral Healthcare, Inc.","FL","Healthcare Provider","98808","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Mountain Dermatology Specialists, PC","CO","Healthcare Provider","2705","12/22/2023","Hacking/IT Incident","Email","No",""
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC","FL","Healthcare Provider","31189","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Highlands Oncology Group PA","AR","Healthcare Provider","55297","12/22/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Kent County Community Mental Health Authority d/b/a Network180 ","MI","Healthcare Provider","59334","12/22/2023","Hacking/IT Incident","Email","No",""
"Clay County Social Services","MN","Business Associate","123807","12/22/2023","Hacking/IT Incident","Network Server","Yes",""
"The Foleck Center, LTD","VA","Healthcare Provider","6965","12/22/2023","Hacking/IT Incident","Email","No",""
"Retina Group of Washington, PLLC","MD","Healthcare Provider","455935","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","1840927","12/22/2023","Hacking/IT Incident","Network Server","No",""
"HealthEC LLC","NJ","Business Associate","4656293","12/21/2023","Hacking/IT Incident","Network Server","Yes",""
"First Choice Dental","WI","Healthcare Provider","1000","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Southeastern Orthopaedic Specialists, PA","NC","Healthcare Provider","35533","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Plaza Radiology, LLC","TN","Healthcare Provider","569022","12/20/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"CompleteCare Health Network","NJ","Healthcare Provider","313973","12/20/2023","Hacking/IT Incident","Network Server","No",""
"Marathon County Special Education","WI","Healthcare Provider","10079","12/20/2023","Hacking/IT Incident","Email","No",""
"Michigan Orthopaedic Surgeons ","MI","Healthcare Provider","67477","12/19/2023","Hacking/IT Incident","Email","No",""
"ESO Solutions, Inc. ","TX","Business Associate","2700000","12/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Dallas County","TX","Healthcare Provider","501","12/18/2023","Hacking/IT Incident","Network Server","No",""
"Primary Health & Wellness Center, LLC ","MD","Healthcare Provider","4792","12/17/2023","Hacking/IT Incident","Network Server","No",""
"Community Memorial Healthcare, Inc.","KS","Healthcare Provider","14798","12/16/2023","Hacking/IT Incident","Network Server","No",""
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers","IL","Healthcare Provider","6351","12/16/2023","Hacking/IT Incident","Email","No",""
"Eyefinity, Inc.","CA","Business Associate","1353","12/14/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"D'Youville Life and Wellness Community, Inc.","MA","Healthcare Provider","501","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Mount Carmel Care Center","MA","Healthcare Provider","501","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Discount Emporium, Inc. d/b/a Drug Emporium","WV","Healthcare Provider","2500","12/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Regional Family Medicine","AR","Healthcare Provider","80166","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Cardiothoracic and Vascular Surgeons, P.A.","TX","Healthcare Provider","500","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Heart of Texas Behavioral Health Network ","TX","Healthcare Provider","63776","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Healix Infusion Therapy, LLC","TX","Business Associate","10277","12/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Keenan & Associates","CA","Health Plan","4631","12/11/2023","Hacking/IT Incident","Network Server","No",""
"Health Alliance Hospital Mary's Avenue Campus","NY","Healthcare Provider","264197","12/11/2023","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Healthcare Provider","19303","12/08/2023","Hacking/IT Incident","Network Server","No",""
"Independent Living Systems, LLC","FL","Business Associate","123651","12/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Prime Healthcare","CA","Healthcare Provider","7185","12/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Akumin Operating Corp.","FL","Healthcare Provider","7127","12/06/2023","Hacking/IT Incident","Network Server","No",""
"Waterford Country School","CT","Healthcare Provider","500","12/05/2023","Hacking/IT Incident","Network Server","No",""
"Neurosurgical Associates of New Jersey","NJ","Healthcare Provider","500","12/04/2023","Unauthorized Access/Disclosure","Network Server","No",""
"KY Cabinet for Health and Family Services (CHFS)","KY","Healthcare Provider","2062","12/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Cardiovascular Consultants Ltd. ","AZ","Healthcare Provider","484000","12/01/2023","Hacking/IT Incident","Network Server","No",""
"The Children’s Home of Wyoming Conference","NY","Healthcare Provider","1111","12/01/2023","Hacking/IT Incident","Network Server","No",""
"Community Healthcare Network, Inc. ","NY","Healthcare Provider","500","11/30/2023","Hacking/IT Incident","Network Server","No",""
"F&E Aviation Holdings, Inc.","FL","Health Plan","3097","11/30/2023","Hacking/IT Incident","Network Server","No",""
"Chesapeake Regional Healthcare","VA","Healthcare Provider","31679","11/29/2023","Hacking/IT Incident","Network Server","Yes",""
"W.P. Malone, Inc. d/b/a AllCare Pharmacy","AR","Healthcare Provider","16341","11/29/2023","Hacking/IT Incident","Network Server","No",""
"County of Rock, WI","WI","Healthcare Provider","10853","11/29/2023","Hacking/IT Incident","Network Server","No",""
"Columbia County Child Abuse Assessment Center dba The Amani Center","OR","Healthcare Provider","2374","11/28/2023","Hacking/IT Incident","Email","No",""
"Foursquare Healthcare, Ltd.","TX","Healthcare Provider","10890","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Inline Plastics Corp.","CT","Health Plan","4853","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Equality Health, LLC","AZ","Healthcare Provider","9240","11/27/2023","Hacking/IT Incident","Email","No",""
"Montrose Behavioral Health Hospital, Inc.","IL","Healthcare Provider","597","11/24/2023","Hacking/IT Incident","Email","No",""
"Morrison Community Hospital District","IL","Healthcare Provider","122488","11/23/2023","Hacking/IT Incident","Network Server","No",""
"Molina Healthcare of Iowa, Inc.","IA","Business Associate","1647","11/22/2023","Hacking/IT Incident","Email","Yes",""
"Saisystems International, Inc. ","CT","Business Associate","10063","11/22/2023","Hacking/IT Incident","Network Server","Yes",""
"East River Medical Imaging, PC","NY","Healthcare Provider","605809","11/22/2023","Hacking/IT Incident","Network Server","No",""
"The Charles Lea Center","SC","Healthcare Provider","1250","11/22/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Eye Care Professionals","OR","Healthcare Provider","950","11/22/2023","Hacking/IT Incident","Network Server","No",""
"Columbus Aesthetic and Plastic Surgery","OH","Healthcare Provider","12677","11/21/2023","Hacking/IT Incident","Network Server","No",""
"U.S. Drug Mart, Inc.","TX","Healthcare Provider","13016","11/21/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"TGI Direct, Inc.","MI","Business Associate","16113","11/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Detroit Chassis, LLC","MI","Health Plan","958","11/21/2023","Hacking/IT Incident","Network Server","No",""
"1st Source Bank","IN","Business Associate","1477","11/20/2023","Hacking/IT Incident","Network Server","Yes",""
"Jacksonville Children's and Multispecialty Clinic","NC","Healthcare Provider","40000","11/17/2023","Hacking/IT Incident","Network Server","No",""
"CKF Addiction Treatment, Inc.","KS","Healthcare Provider","501","11/17/2023","Hacking/IT Incident","Email","No",""
"Community Dental","ME","Healthcare Provider","1523","11/17/2023","Hacking/IT Incident","Network Server","No",""
"Community Health Network, Inc.","IN","Healthcare Provider","2271","11/17/2023","Hacking/IT Incident","Email, Other","No",""
"Psychiatry Associates of Kansas City","KS","Healthcare Provider","18255","11/17/2023","Hacking/IT Incident","Network Server","No",""
"Wyoming County Community Health System","NY","Healthcare Provider","26000","11/16/2023","Hacking/IT Incident","Network Server","No",""
"Rock Valley Physical Therapy Center","IL","Healthcare Provider","2421","11/16/2023","Unauthorized Access/Disclosure","Email","No",""
"CareTree, Inc.","IL","Business Associate","1097","11/15/2023","Hacking/IT Incident","Network Server","Yes",""
"International Paper Company Group Health and Welfare Plan (the ""IP Plan"")","TN","Health Plan","78692","11/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Endocrine and Psychiatry Center","TX","Healthcare Provider","28531","11/14/2023","Hacking/IT Incident","Network Server","No",""
"Southwest Behavioral Health Center","UT","Healthcare Provider","17147","11/13/2023","Hacking/IT Incident","Network Server","No",""
"Woodfords Family Services","ME","Healthcare Provider","6691","11/10/2023","Hacking/IT Incident","Network Server","No",""
"Healix Infusion Therapy, LLC","TX","Healthcare Provider","501","11/09/2023","Hacking/IT Incident","Network Server","No",""
"Warren General Hospital ","PA","Healthcare Provider","168921","11/09/2023","Hacking/IT Incident","Network Server","No",""
"Mariner Management Group ","OH","Healthcare Provider","1756","11/08/2023","Hacking/IT Incident","Network Server","No",""
"BBRx Pharmacy","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Mannings 8th Ave Inc.","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Confucius Pharmacy","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Pharmacy Group of Mississippi, LLC","MS","Healthcare Provider","13129","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Prestige Care, Inc.","WA","Healthcare Provider","501","11/06/2023","Hacking/IT Incident","Network Server","No",""
"Welltok, Inc.","CO","Business Associate","14762475","11/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Wyndemere Senior Care LLC","IL","Healthcare Provider","6832","11/06/2023","Hacking/IT Incident","Network Server","No",""
"WellLife Network Inc.","NY","Healthcare Provider","501","11/06/2023","Hacking/IT Incident","Network Server","No",""
"Healthsoft LLC","GA","Business Associate","1000","11/06/2023","Hacking/IT Incident","Network Server","Yes",""
"South Austin Health Imaging LLC dba Longhorn Imaging Center","TX","Healthcare Provider","100643","11/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Youth and Shelter Services, Inc.","IA","Healthcare Provider","501","11/03/2023","Hacking/IT Incident","Network Server","No",""
"WACOSA","MN","Healthcare Provider","1380","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Westat, Inc.","MD","Business Associate","20045","11/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.","NJ","Healthcare Provider","79582","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Postmeds, Inc.","CA","Healthcare Provider","2364359","10/30/2023","Hacking/IT Incident","Network Server","Yes",""
"Longhorn Village","TX","Healthcare Provider","1670","10/30/2023","Hacking/IT Incident","Email","No",""
"Frederiksted Health Care, Inc.","","Healthcare Provider","600","10/30/2023","Hacking/IT Incident","Network Server","No",""
"Northern Iowa Therapy PC","IA","Business Associate","5100","10/29/2023","Hacking/IT Incident","Network Server","Yes",""
"JDA eHealth Systems, Inc. d/b/a Parathon","IL","Business Associate","8099","10/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Hospital Sisters Health System","IL","Business Associate","500","10/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Fredericksburg Foot & Ankle Center, PLC","VA","Healthcare Provider","14912","10/25/2023","Hacking/IT Incident","Network Server","No",""
"LCS Financial Services","CO","Business Associate","768","10/24/2023","Hacking/IT Incident","Network Server","Yes",""
"MNGI Digestive Health, PA","MN","Healthcare Provider","767670","10/24/2023","Hacking/IT Incident","Network Server","No",""
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity","MI","Healthcare Provider","61033","10/23/2023","Hacking/IT Incident","Network Server","No",""
"La Red Health Center","DE","Healthcare Provider","39759","10/20/2023","Hacking/IT Incident","Network Server","No",""
"McLaren Health Care","MI","Healthcare Provider","501","10/20/2023","Hacking/IT Incident","Network Server","No",""
"City of Philadelphia ","PA","Health Plan","501","10/20/2023","Hacking/IT Incident","Email","No",""
"Counseling and Recovery Services of Oklahoma","OK","Healthcare Provider","3365","10/19/2023","Hacking/IT Incident","Email","No",""
"Hospital & Medical Foundation of Paris, Inc","IL","Healthcare Provider","16598","10/19/2023","Hacking/IT Incident","Network Server","Yes",""
"Napa Integrated Medicine PC","CA","Business Associate","600","10/19/2023","Theft","Desktop Computer","Yes",""
"Oscar Insurance Company of Florida","NY","Health Plan","1045","10/19/2023","Hacking/IT Incident","Network Server","No",""
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport","MS","Healthcare Provider","501","10/18/2023","Hacking/IT Incident","Network Server","No",""
"BHI Energy Health and Welfare Benefits Plan","MA","Health Plan","4049","10/18/2023","Hacking/IT Incident","Network Server","No",""
"Helping the Aging Needy and Disabled Inc","TX","Healthcare Provider","628","10/18/2023","Hacking/IT Incident","Email","No",""
"Peerstar LLC","PA","Healthcare Provider","11438","10/16/2023","Hacking/IT Incident","Network Server","No",""
"Westat, Inc.","MD","Business Associate","51513","10/13/2023","Hacking/IT Incident","Network Server","Yes",""
"BHS Physician Network, Inc. ","TX","Healthcare Provider","1857","10/10/2023","Hacking/IT Incident","Email","No",""
"Fellowship Village","NJ","Healthcare Provider","501","10/08/2023","Hacking/IT Incident","Network Server","No",""
"Carle Health ","IL","Healthcare Provider","679","10/05/2023","Hacking/IT Incident","Network Server","Yes",""
"Region 4 South Mental Health Consortium","MN","Healthcare Provider","571","10/05/2023","Hacking/IT Incident","Network Server","No",""
"Arietis Health, LLC","FL","Business Associate","1975066","09/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Piedmont Healthcare, Inc.","GA","Healthcare Provider","895","09/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Physio Logic Medicine, PC","NY","Healthcare Provider","1280","09/29/2023","Hacking/IT Incident","Network Server","No",""
"International Business Machines Corporation","NY","Business Associate","630755","09/29/2023","Unauthorized Access/Disclosure","Other","Yes",""
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC","NY","Healthcare Provider","9580","09/29/2023","Hacking/IT Incident","Network Server","No",""
"Georgia Northside Ear, Nose, and Throat, LLC.","TX","Healthcare Provider","37774","09/29/2023","Hacking/IT Incident","Email","No",""
"Greater Dallas Healthcare Enterprises","TX","Healthcare Provider","143833","09/29/2023","Hacking/IT Incident","Email","No",""
"Acadia Health, LLC d/b/a Just Kids Dental","AL","Healthcare Provider","129463","09/27/2023","Hacking/IT Incident","Network Server","No",""
"Entertainment Community Fund, dba Actors Fund Home","NJ","Healthcare Provider","1110","09/26/2023","Hacking/IT Incident","Network Server","No",""
"AIDS Alabama, Inc.","AL","Healthcare Provider","1922","09/26/2023","Hacking/IT Incident","Network Server","No",""
"Community First Medical Center","IL","Healthcare Provider","216047","09/26/2023","Hacking/IT Incident","Network Server","No",""
"Riverdale Mental Health d/b/a Mosaic Mental Health ","NY","Healthcare Provider","7281","09/25/2023","Hacking/IT Incident","Network Server","No",""
"Tangoe, Inc.","IN","Health Plan","718","09/25/2023","Hacking/IT Incident","Network Server","No",""
"Navvis & Company, LLC","MO","Business Associate","2824726","09/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Health First, Inc.","FL","Healthcare Provider","14171","09/22/2023","Hacking/IT Incident","Email","No",""
"Lakeview Clinic ","MN","Healthcare Provider","624","09/21/2023","Unauthorized Access/Disclosure","Email","No",""
"Erlanger Health, Inc.","TN","Healthcare Provider","2753","09/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Founder Project Rx, Inc.","TX","Healthcare Provider","30836","09/15/2023","Hacking/IT Incident","Email","No",""
"Pharm-Pacc Corporation","FL","Business Associate","3749","09/12/2023","Hacking/IT Incident","Network Server","Yes",""
"Laboratory Corporation of America Holdings dba LabCorp","NC","Healthcare Provider","1431","09/08/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Ryders Health Management LLC ","CT","Healthcare Provider","7252","09/07/2023","Hacking/IT Incident","Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","315915","09/07/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Amerita","KS","Healthcare Provider","219707","09/05/2023","Hacking/IT Incident","Network Server","No",""
"Delta Dental of California","CA","Health Plan","501","09/05/2023","Hacking/IT Incident","Network Server","No",""
"Georgia Hand, Shoulder & Elbow, PC","GA","Healthcare Provider","20498","09/01/2023","Hacking/IT Incident","Email","No",""
"Bloom Health Centers","MD","Healthcare Provider","1545","09/01/2023","Unauthorized Access/Disclosure","Email","No",""
"North Mississippi Medical Center, Inc.","MS","Healthcare Provider","950","09/01/2023","Hacking/IT Incident","Email","No",""
"PurFoods, LLC","IA","Healthcare Provider","1229333","08/25/2023","Hacking/IT Incident","Network Server","No",""
"Associates in Pediatric Dentistry","LA","Healthcare Provider","9703","08/25/2023","Hacking/IT Incident","Email","No",""
"PRIME THERAPEUTICS LLC","MN","Business Associate","6050","08/23/2023","Hacking/IT Incident","Network Server","Yes",""
"Absolute Dental Services","NC","Business Associate","10037","08/21/2023","Hacking/IT Incident","Email","Yes",""
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF","IL","Healthcare Provider","2603","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Aspen Dental Management, Inc.","NY","Business Associate","62183","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"TAG Urgent Care Support Services, LLC","NY","Business Associate","516985","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Privia Medical Group of Georgia, LLC","GA","Healthcare Provider","212789","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"SouthCoast Medical Group, LLC","GA","Healthcare Provider","501","08/17/2023","Hacking/IT Incident","Network Server","No",""
"Morris Hospital & Healthcare Centers","IL","Healthcare Provider","248943","08/17/2023","Hacking/IT Incident","Network Server","No",""
"Kennedy University Hospital, Inc. t/a Jefferson Health ","NJ","Healthcare Provider","4140","08/15/2023","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Monocacy Valley Dental Brian K. Motz, DDS, PC","MD","Healthcare Provider","4000","08/15/2023","Theft","Laptop","No",""
"Nice Pak Products Inc., Health and Welfare Benefits Plan","NJ","Health Plan","8487","08/14/2023","Hacking/IT Incident","Network Server","No",""
"TRACT Radiology","MS","Business Associate","7810","08/14/2023","Hacking/IT Incident","Network Server","Yes",""
"VNS Health Plans","NY","Health Plan","103775","08/14/2023","Hacking/IT Incident","Network Server","Yes",""
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider","350000","08/11/2023","Hacking/IT Incident","Network Server","No",""
"Coastal Orthopedics & Sports Medicine of Southwest Florida","FL","Healthcare Provider","203427","08/10/2023","Hacking/IT Incident","Network Server","No",""
"Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees","IN","Business Associate","5330","08/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Harris Eye Care","MI","Healthcare Provider","6267","08/08/2023","Hacking/IT Incident","Network Server","No",""
"Cranberry Township Emergency Medical Service","PA","Healthcare Provider","1247","08/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Gary Motykie, M.D., a Medical Corporation ","CA","Healthcare Provider","3400","08/05/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Radius Global Solutions","MN","Business Associate","632204","08/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Maximus, Inc.","VA","Business Associate","9179226","08/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Unum Group SACE","TN","Health Plan","531732","08/03/2023","Hacking/IT Incident","Network Server","No",""
"Self-insured group health plans sponsored by the City of Dallas","TX","Health Plan","30253","08/03/2023","Hacking/IT Incident","Network Server","No",""
"Plumbers Local 8 Health & Welfare Fund","MO","Health Plan","4790","08/02/2023","Hacking/IT Incident","Email","No",""
"HCA Healthcare","TN","Business Associate","11270000","07/31/2023","Hacking/IT Incident","Network Server","Yes",""
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")","MN","Business Associate","1027","07/28/2023","Hacking/IT Incident","Network Server","Yes",""
"The Chattanooga Heart Institute","TN","Healthcare Provider","170450","07/28/2023","Hacking/IT Incident","Network Server","No",""
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ","FL","Healthcare Provider","2430920","07/28/2023","Hacking/IT Incident","Network Server","No",""
"Centers for Medicare & Medicaid Services","MD","Health Plan","2342357","07/28/2023","Hacking/IT Incident","Network Server","Yes",""
"CareSource","OH","Business Associate","3180537","07/27/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Hillsborough County, Florida (County Government)","FL","Healthcare Provider","70636","07/26/2023","Hacking/IT Incident","Network Server","No",""
"Life Management Center of Northwest Florida, Inc. ","FL","Healthcare Provider","19107","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Family Vision of Anderson, P.A.","SC","Healthcare Provider","62631","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Bi-Bett Corporation","CA","Business Associate","4722","07/25/2023","Hacking/IT Incident","Email","Yes",""
"UT Southwestern Medical Center","TX","Healthcare Provider","98437","07/24/2023","Hacking/IT Incident","Network Server","No",""
"Paramedic Billing Services","IL","Healthcare Clearing House","501","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Harris County Hospital District d/b/a Harris Health System ","TX","Healthcare Provider","455676","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Batesville Tool & Die, Inc.","IN","Health Plan","574","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Pennsylvania Department of Human Services","PA","Healthcare Provider","16390","07/21/2023","Unauthorized Access/Disclosure","Network Server","No",""
"New England Life Care, Inc.","ME","Healthcare Provider","51854","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Mindful Innovations, PLLC","NC","Healthcare Provider","1900","07/20/2023","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop","No",""
"Associated Pathologists, LLC dba PathGroup Health Plan","TN","Health Plan","2031","07/18/2023","Hacking/IT Incident","Network Server","Yes",""
